         12x6.dat                          06/07/13                                                 
                                                                                                    
                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                              
                                                                                                    
         DEFINITIONS:                                                                               
         J=V/nD (advance ratio)                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                     
         Pe=Ct*J/Cp (efficiency)                                                                    
         V  (model speed in MPH)                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =       1000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1018      0.0610       0.001       0.077       0.067    
         0.3        0.03      0.0449      0.0943      0.0574       0.001       0.072       0.062    
         0.6        0.05      0.0884      0.0870      0.0538       0.001       0.068       0.057    
         0.9        0.08      0.1305      0.0798      0.0501       0.001       0.063       0.053    
         1.2        0.11      0.1712      0.0728      0.0465       0.001       0.059       0.048    
         1.6        0.14      0.2103      0.0660      0.0429       0.001       0.054       0.044    
         1.9        0.16      0.2480      0.0620      0.0410       0.001       0.052       0.041    
         2.2        0.19      0.2842      0.0601      0.0405       0.001       0.051       0.040    
         2.5        0.22      0.3188      0.0580      0.0398       0.001       0.050       0.038    
         2.8        0.25      0.3518      0.0558      0.0390       0.001       0.049       0.037    
         3.1        0.27      0.3832      0.0535      0.0382       0.001       0.048       0.035    
         3.4        0.30      0.4131      0.0513      0.0373       0.001       0.047       0.034    
         3.7        0.33      0.4413      0.0489      0.0364       0.001       0.046       0.032    
         4.0        0.36      0.4679      0.0465      0.0353       0.001       0.045       0.031    
         4.3        0.38      0.4930      0.0441      0.0342       0.001       0.043       0.029    
         4.7        0.41      0.5164      0.0416      0.0330       0.001       0.042       0.027    
         5.0        0.44      0.5381      0.0390      0.0317       0.001       0.040       0.026    
         5.3        0.46      0.5580      0.0363      0.0303       0.001       0.038       0.024    
         5.6        0.49      0.5761      0.0337      0.0287       0.001       0.036       0.022    
         5.9        0.52      0.5922      0.0309      0.0271       0.001       0.034       0.020    
         6.2        0.55      0.6059      0.0281      0.0253       0.001       0.032       0.019    
         6.5        0.57      0.6162      0.0252      0.0234       0.000       0.030       0.017    
         6.8        0.60      0.6220      0.0222      0.0215       0.000       0.027       0.015    
         7.1        0.63      0.6212      0.0192      0.0194       0.000       0.025       0.013    
         7.5        0.66      0.6112      0.0162      0.0174       0.000       0.022       0.011    
         7.8        0.68      0.5877      0.0130      0.0152       0.000       0.019       0.009    
         8.1        0.71      0.5438      0.0099      0.0129       0.000       0.016       0.007    
         8.4        0.74      0.4634      0.0066      0.0105       0.000       0.013       0.004    
         8.7        0.77      0.3108      0.0033      0.0082       0.000       0.010       0.002    
         9.0        0.79     -0.0011      0.0000      0.0060       0.000       0.008       0.000    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =       2000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1019      0.0611       0.010       0.308       0.269    
         0.6        0.03      0.0449      0.0944      0.0575       0.009       0.290       0.249    
         1.2        0.05      0.0884      0.0871      0.0538       0.009       0.272       0.230    
         1.9        0.08      0.1305      0.0799      0.0502       0.008       0.253       0.211    
         2.5        0.11      0.1712      0.0729      0.0465       0.007       0.235       0.193    
         3.1        0.14      0.2104      0.0660      0.0429       0.007       0.217       0.174    
         3.7        0.16      0.2480      0.0621      0.0410       0.007       0.207       0.164    
         4.3        0.19      0.2842      0.0602      0.0405       0.006       0.204       0.159    
         5.0        0.22      0.3188      0.0581      0.0398       0.006       0.201       0.153    
         5.6        0.25      0.3519      0.0559      0.0391       0.006       0.197       0.148    
         6.2        0.27      0.3833      0.0536      0.0382       0.006       0.193       0.142    
         6.8        0.30      0.4131      0.0513      0.0374       0.006       0.189       0.136    
         7.5        0.33      0.4414      0.0490      0.0364       0.006       0.184       0.129    
         8.1        0.36      0.4680      0.0466      0.0354       0.006       0.178       0.123    
         8.7        0.38      0.4931      0.0441      0.0343       0.005       0.173       0.117    
         9.3        0.41      0.5165      0.0416      0.0330       0.005       0.167       0.110    
         9.9        0.44      0.5382      0.0390      0.0317       0.005       0.160       0.103    
        10.6        0.46      0.5581      0.0364      0.0303       0.005       0.153       0.096    
        11.2        0.49      0.5763      0.0337      0.0288       0.005       0.145       0.089    
        11.8        0.52      0.5924      0.0309      0.0271       0.004       0.137       0.082    
        12.4        0.55      0.6061      0.0281      0.0253       0.004       0.128       0.074    
        13.0        0.57      0.6165      0.0252      0.0235       0.004       0.118       0.067    
        13.7        0.60      0.6222      0.0222      0.0215       0.003       0.109       0.059    
        14.3        0.63      0.6215      0.0192      0.0195       0.003       0.098       0.051    
        14.9        0.66      0.6114      0.0162      0.0174       0.003       0.088       0.043    
        15.5        0.68      0.5881      0.0131      0.0152       0.002       0.077       0.035    
        16.2        0.71      0.5442      0.0099      0.0129       0.002       0.065       0.026    
        16.8        0.74      0.4638      0.0066      0.0106       0.002       0.053       0.018    
        17.4        0.77      0.3112      0.0033      0.0082       0.001       0.041       0.009    
        18.0        0.79     -0.0021      0.0000      0.0060       0.001       0.030       0.000    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =       3000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1022      0.0612       0.033       0.695       0.608    
         0.9        0.03      0.0449      0.0947      0.0576       0.031       0.654       0.563    
         1.9        0.05      0.0884      0.0874      0.0540       0.029       0.613       0.519    
         2.8        0.08      0.1305      0.0802      0.0503       0.027       0.572       0.477    
         3.7        0.11      0.1712      0.0731      0.0467       0.025       0.530       0.435    
         4.7        0.14      0.2104      0.0663      0.0431       0.023       0.489       0.394    
         5.6        0.16      0.2481      0.0623      0.0412       0.022       0.468       0.370    
         6.5        0.19      0.2843      0.0604      0.0407       0.022       0.462       0.359    
         7.5        0.22      0.3189      0.0583      0.0400       0.022       0.454       0.347    
         8.4        0.25      0.3519      0.0561      0.0392       0.021       0.445       0.334    
         9.3        0.27      0.3833      0.0539      0.0384       0.021       0.436       0.320    
        10.2        0.30      0.4132      0.0516      0.0375       0.020       0.426       0.307    
        11.2        0.33      0.4415      0.0492      0.0365       0.020       0.415       0.293    
        12.1        0.36      0.4681      0.0468      0.0355       0.019       0.403       0.278    
        13.0        0.38      0.4932      0.0443      0.0344       0.019       0.390       0.264    
        14.0        0.41      0.5166      0.0418      0.0332       0.018       0.377       0.249    
        14.9        0.44      0.5383      0.0392      0.0319       0.017       0.362       0.233    
        15.8        0.46      0.5583      0.0366      0.0304       0.016       0.346       0.218    
        16.8        0.49      0.5765      0.0339      0.0289       0.016       0.328       0.201    
        17.7        0.52      0.5927      0.0311      0.0272       0.015       0.309       0.185    
        18.6        0.55      0.6064      0.0283      0.0255       0.014       0.289       0.168    
        19.6        0.57      0.6168      0.0253      0.0236       0.013       0.268       0.151    
        20.5        0.60      0.6227      0.0224      0.0216       0.012       0.245       0.133    
        21.4        0.63      0.6221      0.0193      0.0195       0.011       0.222       0.115    
        22.4        0.66      0.6122      0.0163      0.0174       0.009       0.198       0.097    
        23.3        0.68      0.5890      0.0131      0.0152       0.008       0.173       0.078    
        24.2        0.71      0.5453      0.0099      0.0129       0.007       0.147       0.059    
        25.1        0.74      0.4651      0.0067      0.0106       0.006       0.120       0.040    
        26.1        0.76      0.3130      0.0033      0.0082       0.004       0.093       0.020    
        27.0        0.79     -0.0016      0.0000      0.0060       0.003       0.068       0.000    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =       4000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1023      0.0602       0.077       1.216       1.081    
         1.2        0.03      0.0457      0.0948      0.0566       0.073       1.143       1.002    
         2.5        0.05      0.0900      0.0874      0.0531       0.068       1.071       0.924    
         3.7        0.08      0.1329      0.0802      0.0495       0.063       0.998       0.848    
         5.0        0.11      0.1744      0.0732      0.0459       0.059       0.926       0.773    
         6.2        0.14      0.2144      0.0663      0.0423       0.054       0.853       0.701    
         7.5        0.16      0.2529      0.0623      0.0404       0.052       0.816       0.659    
         8.7        0.19      0.2900      0.0604      0.0399       0.051       0.804       0.639    
         9.9        0.22      0.3256      0.0583      0.0391       0.050       0.790       0.616    
        11.2        0.25      0.3597      0.0561      0.0384       0.049       0.774       0.593    
        12.4        0.27      0.3922      0.0539      0.0375       0.048       0.757       0.569    
        13.7        0.30      0.4232      0.0515      0.0366       0.047       0.739       0.545    
        14.9        0.33      0.4526      0.0492      0.0356       0.046       0.719       0.520    
        16.1        0.36      0.4803      0.0468      0.0346       0.044       0.698       0.494    
        17.4        0.38      0.5065      0.0443      0.0334       0.043       0.675       0.468    
        18.6        0.41      0.5309      0.0418      0.0322       0.041       0.650       0.441    
        19.9        0.44      0.5537      0.0392      0.0309       0.040       0.624       0.414    
        21.1        0.46      0.5746      0.0365      0.0295       0.038       0.596       0.386    
        22.4        0.49      0.5937      0.0338      0.0280       0.036       0.565       0.357    
        23.6        0.52      0.6106      0.0310      0.0264       0.034       0.532       0.328    
        24.8        0.55      0.6249      0.0282      0.0246       0.032       0.497       0.298    
        26.1        0.57      0.6357      0.0253      0.0228       0.029       0.460       0.267    
        27.3        0.60      0.6417      0.0223      0.0209       0.027       0.422       0.236    
        28.6        0.63      0.6411      0.0193      0.0189       0.024       0.381       0.204    
        29.8        0.66      0.6311      0.0162      0.0168       0.022       0.340       0.171    
        31.0        0.68      0.6074      0.0131      0.0147       0.019       0.297       0.138    
        32.3        0.71      0.5622      0.0099      0.0125       0.016       0.252       0.105    
        33.5        0.74      0.4793      0.0066      0.0102       0.013       0.207       0.070    
        34.8        0.76      0.3226      0.0033      0.0079       0.010       0.160       0.035    
        36.0        0.79     -0.0021      0.0000      0.0058       0.007       0.116       0.000    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =       5000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1022      0.0589       0.147       1.859       1.688    
         1.6        0.03      0.0466      0.0947      0.0554       0.139       1.748       1.564    
         3.1        0.05      0.0919      0.0874      0.0519       0.130       1.637       1.443    
         4.7        0.08      0.1357      0.0802      0.0484       0.121       1.525       1.324    
         6.2        0.11      0.1781      0.0731      0.0448       0.112       1.414       1.208    
         7.8        0.14      0.2191      0.0663      0.0413       0.103       1.302       1.095    
         9.3        0.16      0.2587      0.0623      0.0394       0.099       1.243       1.029    
        10.9        0.19      0.2969      0.0604      0.0389       0.097       1.225       0.997    
        12.4        0.22      0.3337      0.0583      0.0381       0.095       1.202       0.962    
        14.0        0.25      0.3690      0.0560      0.0373       0.093       1.177       0.926    
        15.5        0.27      0.4028      0.0538      0.0364       0.091       1.149       0.888    
        17.1        0.30      0.4350      0.0515      0.0355       0.089       1.120       0.850    
        18.6        0.33      0.4658      0.0491      0.0345       0.086       1.089       0.811    
        20.2        0.35      0.4948      0.0467      0.0335       0.084       1.056       0.771    
        21.7        0.38      0.5222      0.0442      0.0323       0.081       1.020       0.730    
        23.3        0.41      0.5478      0.0417      0.0311       0.078       0.982       0.688    
        24.8        0.44      0.5717      0.0391      0.0298       0.075       0.941       0.645    
        26.4        0.46      0.5936      0.0364      0.0285       0.071       0.898       0.601    
        27.9        0.49      0.6135      0.0337      0.0270       0.068       0.851       0.557    
        29.5        0.52      0.6311      0.0309      0.0254       0.064       0.802       0.511    
        31.0        0.55      0.6459      0.0281      0.0238       0.059       0.749       0.464    
        32.6        0.57      0.6570      0.0252      0.0220       0.055       0.694       0.416    
        34.1        0.60      0.6631      0.0223      0.0202       0.050       0.636       0.368    
        35.7        0.63      0.6623      0.0192      0.0182       0.046       0.575       0.318    
        37.2        0.65      0.6520      0.0162      0.0163       0.041       0.513       0.267    
        38.8        0.68      0.6276      0.0131      0.0142       0.036       0.448       0.216    
        40.3        0.71      0.5808      0.0099      0.0121       0.030       0.381       0.163    
        41.9        0.74      0.4951      0.0066      0.0099       0.025       0.312       0.110    
        43.4        0.76      0.3333      0.0033      0.0077       0.019       0.242       0.055    
        45.0        0.79     -0.0021      0.0000      0.0056       0.014       0.175       0.000    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =       6000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1027      0.0592       0.256       2.688       2.442    
         1.9        0.03      0.0467      0.0951      0.0555       0.240       2.521       2.262    
         3.7        0.05      0.0923      0.0877      0.0519       0.224       2.355       2.086    
         5.6        0.08      0.1366      0.0805      0.0482       0.208       2.189       1.914    
         7.4        0.11      0.1797      0.0734      0.0446       0.193       2.024       1.746    
         9.3        0.14      0.2215      0.0665      0.0410       0.177       1.860       1.582    
        11.2        0.16      0.2620      0.0625      0.0390       0.169       1.772       1.485    
        13.0        0.19      0.3011      0.0605      0.0384       0.166       1.743       1.439    
        14.9        0.22      0.3389      0.0584      0.0376       0.163       1.707       1.388    
        16.7        0.25      0.3751      0.0562      0.0367       0.159       1.669       1.336    
        18.6        0.27      0.4098      0.0539      0.0359       0.155       1.629       1.282    
        20.5        0.30      0.4430      0.0516      0.0349       0.151       1.586       1.226    
        22.3        0.33      0.4746      0.0492      0.0339       0.147       1.541       1.170    
        24.2        0.35      0.5046      0.0468      0.0329       0.142       1.492       1.112    
        26.0        0.38      0.5328      0.0443      0.0317       0.137       1.441       1.053    
        27.9        0.41      0.5594      0.0417      0.0305       0.132       1.386       0.993    
        29.7        0.44      0.5840      0.0391      0.0292       0.126       1.328       0.931    
        31.6        0.46      0.6068      0.0365      0.0279       0.121       1.266       0.868    
        33.5        0.49      0.6275      0.0338      0.0264       0.114       1.200       0.803    
        35.3        0.52      0.6459      0.0310      0.0249       0.107       1.129       0.737    
        37.2        0.55      0.6613      0.0282      0.0232       0.100       1.055       0.670    
        39.0        0.57      0.6730      0.0253      0.0215       0.093       0.976       0.601    
        40.9        0.60      0.6796      0.0223      0.0197       0.085       0.894       0.530    
        42.8        0.63      0.6793      0.0193      0.0178       0.077       0.808       0.459    
        44.6        0.65      0.6695      0.0162      0.0159       0.069       0.720       0.386    
        46.5        0.68      0.6456      0.0131      0.0138       0.060       0.628       0.311    
        48.3        0.71      0.5993      0.0099      0.0117       0.051       0.532       0.236    
        50.2        0.74      0.5133      0.0067      0.0096       0.041       0.434       0.158    
        52.1        0.76      0.3486      0.0034      0.0074       0.032       0.334       0.080    
        53.9        0.79     -0.0025      0.0000      0.0053       0.023       0.239       0.000    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =       7000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1037      0.0611       0.420       3.779       3.355    
         2.2        0.03      0.0459      0.0960      0.0570       0.391       3.525       3.106    
         4.3        0.05      0.0910      0.0884      0.0530       0.364       3.275       2.863    
         6.5        0.08      0.1353      0.0811      0.0490       0.336       3.030       2.625    
         8.7        0.11      0.1787      0.0739      0.0451       0.310       2.788       2.393    
        10.8        0.14      0.2211      0.0669      0.0413       0.283       2.551       2.167    
        13.0        0.16      0.2624      0.0628      0.0391       0.269       2.419       2.032    
        15.2        0.19      0.3025      0.0608      0.0383       0.263       2.370       1.967    
        17.3        0.22      0.3410      0.0586      0.0375       0.257       2.316       1.897    
        19.5        0.25      0.3779      0.0564      0.0366       0.251       2.261       1.824    
        21.7        0.27      0.4131      0.0541      0.0357       0.245       2.206       1.750    
        23.8        0.30      0.4468      0.0517      0.0347       0.238       2.146       1.675    
        26.0        0.33      0.4790      0.0494      0.0337       0.231       2.083       1.598    
        28.2        0.35      0.5096      0.0469      0.0326       0.224       2.017       1.519    
        30.4        0.38      0.5386      0.0444      0.0315       0.216       1.946       1.438    
        32.5        0.41      0.5659      0.0419      0.0303       0.208       1.870       1.356    
        34.7        0.44      0.5914      0.0393      0.0290       0.199       1.790       1.271    
        36.9        0.46      0.6151      0.0366      0.0276       0.189       1.705       1.185    
        39.0        0.49      0.6367      0.0339      0.0261       0.179       1.615       1.097    
        41.2        0.52      0.6560      0.0311      0.0246       0.169       1.519       1.007    
        43.4        0.55      0.6725      0.0283      0.0229       0.157       1.417       0.915    
        45.5        0.57      0.6851      0.0254      0.0212       0.146       1.311       0.822    
        47.7        0.60      0.6928      0.0224      0.0194       0.133       1.199       0.726    
        49.9        0.63      0.6936      0.0194      0.0175       0.120       1.084       0.628    
        52.0        0.65      0.6847      0.0163      0.0156       0.107       0.963       0.528    
        54.2        0.68      0.6621      0.0132      0.0135       0.093       0.838       0.426    
        56.4        0.71      0.6175      0.0100      0.0114       0.078       0.707       0.322    
        58.5        0.74      0.5321      0.0067      0.0093       0.064       0.572       0.217    
        60.7        0.76      0.3642      0.0034      0.0071       0.048       0.436       0.109    
        62.9        0.79     -0.0025      0.0000      0.0050       0.034       0.308      -0.001    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =       8000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1046      0.0630       0.646       5.086       4.424    
         2.5        0.03      0.0452      0.0968      0.0585       0.599       4.721       4.093    
         5.0        0.05      0.0901      0.0892      0.0541       0.554       4.366       3.769    
         7.4        0.08      0.1344      0.0817      0.0498       0.510       4.020       3.453    
         9.9        0.11      0.1781      0.0744      0.0456       0.468       3.684       3.145    
        12.4        0.14      0.2210      0.0673      0.0416       0.426       3.356       2.845    
        14.9        0.16      0.2631      0.0631      0.0393       0.403       3.173       2.668    
        17.4        0.19      0.3041      0.0610      0.0384       0.393       3.098       2.581    
        19.9        0.22      0.3434      0.0588      0.0374       0.383       3.021       2.487    
        22.3        0.25      0.3810      0.0565      0.0365       0.374       2.945       2.390    
        24.8        0.27      0.4167      0.0542      0.0356       0.364       2.871       2.293    
        27.3        0.30      0.4509      0.0519      0.0346       0.354       2.792       2.194    
        29.8        0.33      0.4836      0.0495      0.0335       0.344       2.708       2.093    
        32.3        0.36      0.5149      0.0470      0.0324       0.332       2.619       1.989    
        34.8        0.38      0.5445      0.0445      0.0313       0.321       2.525       1.883    
        37.2        0.41      0.5725      0.0420      0.0300       0.308       2.426       1.775    
        39.7        0.44      0.5987      0.0394      0.0287       0.294       2.320       1.664    
        42.2        0.46      0.6232      0.0367      0.0273       0.280       2.206       1.551    
